Block: 945
Row Block TimeStamp DocumentTimestamp TraceOriginalId DocumentHash ContentHash PdfDocumentHash PdfContentHash Type DocumentCode DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
24857 945 2022-10-02T00:14:00.349Z 2022-10-02T00:13:59.600Z ffd69f10bbfe0bc0623ebc1229f25272174111c2c2f682d3c4732bc4e3c77261 2f89283f7a85176de5cd54309670ff7fd602560934002daa6410a56682c9b138 5dc4abae8421d37ad67c0985c86b94320f74d5796835c6c7e2e07551839e0464 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 AME NEG 12 02829c2ae6c938d67fe66c30a210e8589de5cc0b88a20fee2dae10d86caa61341e 025acd09603bbb6322fff4aa5849c6d6150f789a6e8d974661c71aaca16f0ccfc3 Jm1oPZ8xrbxzsYCdstkZORAuNZP9dH1smk7kOz4lIkIdGjJkwSnqHUEnHqQSoap10lYGN/wo+f5ldjNQo3dEzw== 2f89283f7a85176de5cd54309670ff7fd602560934002daa6410a56682c9b138 AlqTolkrpzEdUcIhnYNYY5AupjMtU+co7QBbgu/TnpCLOaUnzmXa9Q7FzxkyS7KMNttrLjv6aybq0mrYgGl0Cw== oHVU16zI64xpA6GdEuhjrwKFAmm51CfnT3Mmsy9KyKu9jc/7NwopcHj6pU0Re87YnhT7Sjat8UZ/AivXYe1Hzw== Em96zce2l0XaIPtoBVOOba2lGkcpM8dIyu2nTCJblkYd4zG7Sd+OEoTMODg8T+F/MuHDTXWNx/oE4XU4kgfT8Q==
24858 945 2022-10-02T00:14:17.625Z 2022-10-02T00:14:11.919Z b56481a71aba8bc053e52b58be7a33fc1f48377be8fdd829a0eca89ff62bcd59 b56481a71aba8bc053e52b58be7a33fc1f48377be8fdd829a0eca89ff62bcd59 b56481a71aba8bc053e52b58be7a33fc1f48377be8fdd829a0eca89ff62bcd59 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 944 02eca9168943804dee427a44ab6e5a9d4d67259555860d1375d9d29ef1b20992a2 02b7f9c2aed1ba1fab2e2837a2e22183a2dadb2a838e3d971585cf67ff5fae9f99 4i+CvlZxESnCySXy/yAFWyAuGKFouzCkSf8IjD57O8V1PPXCRxkynT+4QRVJedwV/Kak6KwbEMk5y1pKjbMDWw== b56481a71aba8bc053e52b58be7a33fc1f48377be8fdd829a0eca89ff62bcd59 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 fauWwmTfl9jCT9ngZDFTiOjA/ThQQx3JgFoFDcbHcwKfCinjGUP3Kfl9zwaL56vPpyP+BTdb4uPjY67fQO47BQ== kPpnksVuuANk00Se5ru9JFKof5dcPJJ/pzLlVs5Zn5RkT6OX4KCkSXwGvV+CAlt8tw4nMJSblG8kA7TnMKNuCw==
24859 945 2022-10-02T00:14:17.646Z 2022-10-02T00:14:14.437Z 971f85e03ea1f9685316662928d1505e4c87bf089c6be6d04a2b25b76f6a35e0 971f85e03ea1f9685316662928d1505e4c87bf089c6be6d04a2b25b76f6a35e0 971f85e03ea1f9685316662928d1505e4c87bf089c6be6d04a2b25b76f6a35e0 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 944 027212918c7dfe2a77e427f342df5d280e06dded409eb357a7444b64e0734ccb9b 039843780e0aea4fc9f57e3dfebc90cb8d3d0a6befe9a8af55a8348ff37e478e98 cGCZ6Ao9QlB0Mzud10eFOvhFngE45P9zsCJ0xtyw/yhO/R3yGRVid5RaAiEN+hikg7C3r6yAHBHj4+n3wL8uJw== 971f85e03ea1f9685316662928d1505e4c87bf089c6be6d04a2b25b76f6a35e0 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 Y/gSPfxUcXoIad+MKn3eRRAByoefNmhLqyxTo+dCCjEp/9cvrDH7qXOzjbk3l6pJNn/inlGcURBocf6BgU+9Qg== F5HuXvNMQGAjTEfMuazIPR6wMA7TiwvX3eRE4cN9wfxjEPn3o5gfxKKAXQEk4Kbf6h4aeZJjPNNem0rzNuzrKw==
24860 945 2022-10-02T00:14:18.475Z 2022-10-02T00:14:18.335Z 5c5502e8eaed95d7b3e39a8e6e7b8d71d4f8799fb8bb7dfbe4b6c92ea5545c22 5c5502e8eaed95d7b3e39a8e6e7b8d71d4f8799fb8bb7dfbe4b6c92ea5545c22 5c5502e8eaed95d7b3e39a8e6e7b8d71d4f8799fb8bb7dfbe4b6c92ea5545c22 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 944 0255b05f4ae25038025a67474b3ffbe9d70fef85cad4b66f6594c4d6929ff290cc 03add1e739d40f90cfdea53ef8f76d5772eee72580491a0203fa72c6baf0cc827f rkDj0sGB7YBgY2trdal15WcRMLsrWAkPEdb94nTS2U4MG8zmoIokwP7wB1cJwNrbmNGRqPoc4+bbad0zbN0oAw== 5c5502e8eaed95d7b3e39a8e6e7b8d71d4f8799fb8bb7dfbe4b6c92ea5545c22 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 DnBzy3VykoqN0wzSsGFuNqxi6tTu3ovY7o7/98Ptoy5GUpwpKgKEE2IREzqRjDtSfZRQFuBYK35urXs1VXHUrw== WZOip7RjTxwW/SIRFBFN8YOiSaZoT0mOEh2cr31mg0+NcUm/Gw34OvM88KKdmz7VPOlmkxlJYZW5BX61hD/55w==
24861 945 2022-10-02T00:14:18.509Z 2022-10-02T00:14:18.459Z d65a4ec4963ef4cbf5d6da53f85bc04e55e007ce7604ccddf16b228199fd1588 d65a4ec4963ef4cbf5d6da53f85bc04e55e007ce7604ccddf16b228199fd1588 d65a4ec4963ef4cbf5d6da53f85bc04e55e007ce7604ccddf16b228199fd1588 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 944 03a0c295559d19cd215bab67b958d6bea6f46e85c13bbab6ae436e285c66bc989d 02e3f1468643c5e12b8a587d7412415217701026b72c5d03e1d636aa81a600e41a mlGO+BdOnvBhf7o/Bg4rIaREMyCvLe9RcBJOQSvaH9bkCg7x18cdnTfb7c0a8iHq25X7DrdEod7cOdGBI8Vwuw== d65a4ec4963ef4cbf5d6da53f85bc04e55e007ce7604ccddf16b228199fd1588 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 XkakKJ/Ju9kWydvoLbegF6ZCpRJwMCJsuPhJihc4aY26fdJgbhZVBq7bd1cHt7DbafmDOVmo9eSi9nAvY01gFg== 4p5+eR13eyEyDawTltL+eP6R1M5P4S3iEt1S76pTwclXGwGA2s4sNdhlxEtsFcYIa16rVHQJPxjEQ+j3nrgqRQ==
24862 945 2022-10-02T00:14:20.404Z 2022-10-02T00:14:20.120Z a36dc3e08bbff8f9b40f89e520e628d630c1787f275c2a5478900c2fce7088a4 a36dc3e08bbff8f9b40f89e520e628d630c1787f275c2a5478900c2fce7088a4 a36dc3e08bbff8f9b40f89e520e628d630c1787f275c2a5478900c2fce7088a4 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 944 038179e02e0130dbf55be3e0bf80262b23ee99e4aa388346582bd8c4b50f2e9a7a 03bdcc8ab718f25ac187ce5d0eac828bbf1a2453194440f86f73f5f14b95cc4be0 6m/yXd+fYFOMpVpKM0rhhZErL9cN9vHYfs26HdwndRwxF5alzmotGq7jlXKcB7cY/9+PaQB18iD9GogUyFhQXw== a36dc3e08bbff8f9b40f89e520e628d630c1787f275c2a5478900c2fce7088a4 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 tm8RVQxM5JIrkMKLDm6tRhv9zk+NgfcRTB1rxNgFvu+MZUosc0xeSiGg14oD3JnghtRyaRmPbMUTVCR8EoSg2g== ESIBIWQXGK9TUxqHdBlxhpZkCdQfljRvdh2UoVitxfjCsVgXTYBnHyrTY7p/jpWm9aavbGJBj4c4HLohwzwWWQ==
24863 945 2022-10-02T00:14:22.378Z 2022-10-02T00:14:22.243Z 78a656dd9d35ca4df243259ffa2de4d3f086bd08de7eae5449bb729545b018b8 78a656dd9d35ca4df243259ffa2de4d3f086bd08de7eae5449bb729545b018b8 78a656dd9d35ca4df243259ffa2de4d3f086bd08de7eae5449bb729545b018b8 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 944 020f13677715f551f5615204df63936ed4626d0858aec139da33f1157a5fe0f66b 02c35f81ba2646102569d21baeec8434ed6cd02492e5981ebded9f0cf8576d878c pjo3QxrznYpZeFPyB342f0FP49Tvmnmh8jrFPmDAXd8kcHWN5X6TtV/aPYujz5hNmEhp9DYtrN1YIEPd7xLUKg== 78a656dd9d35ca4df243259ffa2de4d3f086bd08de7eae5449bb729545b018b8 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 R2IvMriM64u9ZkWaAwOnBlV79MjQXc8Z5sICWfu3DcQeGlr/l/zIcSd43dha5+Zian5ktwl2rY/HLUIbxXTYVw== GfgPf4847g4qR/fjH2cfLYFAa0+RJKcln/yP0F9FKW/PbdcryUBqTcJ4Wdc/9ux5eitMWwsXLcFqKJlhBCS34w==
24864 945 2022-10-02T00:14:27.053Z 2022-10-02T00:14:26.874Z 76097105ecfcd1151d6fa830bdbcf6c33a5c795899960f3ef6307b3baa63d046 76097105ecfcd1151d6fa830bdbcf6c33a5c795899960f3ef6307b3baa63d046 76097105ecfcd1151d6fa830bdbcf6c33a5c795899960f3ef6307b3baa63d046 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 944 02f0e4f7f1715c4074b24436f412c94df3c9885d595058c6626d96b87fafd8c6c0 03270c2b72424c1acbf0e0f5c158ea95a9a9826d83a1752bcf5d5068dd0243de6a hrmd7R50Wt9GD/CgLOQtKbndEj1TbFHA6YrsY8Ct4C8Lusa7/MNS8v37KFQDA/W8Udt7jub7W+GIjzZh+BiYng== 76097105ecfcd1151d6fa830bdbcf6c33a5c795899960f3ef6307b3baa63d046 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 JNJNlnafWu4JsNXVkxBQuP5YW8Tlpm9wBHotseD8/3jfG+d2Zx7inZUG37pDSSGKFBf7o12jKaG93bvaYqOqUA== VlVEi0W4SdPUyf+1rWlSSonbFBDgEMuzeYL1UW8ASrskhKF8/6/Amu9bC7U7IFyUsvYN/WvRPcUDrCj1yHs+eA==
24865 945 2022-10-02T00:28:49.362Z 2022-10-02T00:28:48.915Z 2cf0a76b3e6afa1b6788fc941153c68a445a5946d0368b9b2dec7638a0cae37e 226db195ce6a11cea9ada8ac3752bf17380db533bf05cdeccd23022d41bff313 159ba9468066b09468667ac85bb5b0c462c2f01a05f66fde6c8229fcfb6f3448 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 AME NEG 12 0395b1f1786725b947cefec537bd92036e2fb15a8faa5f1b9d7617608755275a41 03052d5c4b7962bbe5c88fe54ac0b0f632f18d36f651367a8ec4ea4ac4e41f039b oWtYrSyW4coXWlXl69jjy0MKvAur3PItPhvkBa9+oWA1kYXjNa9tPndcan8ggv5gCbdtRnAqrzmCJ7xVaiOrkQ== 226db195ce6a11cea9ada8ac3752bf17380db533bf05cdeccd23022d41bff313 oIUdyajrI0qV2MtZ3UFic2k0sgygs+ACJCRuQnjHdOPngMxKrb0ToNtPymxZ6Wis27xFJXQyjf8PLuLs5HMlaA== l7mbNTt8/659cLU9xnCWu7CUHo71C7PnmDLBBTXI2iL0MTdgMYULw0h833gTEtOWS+4rhZ9GmuJBxhEG00PXXA== S91IqgqwRW4olcfC+QeaM6WKASMbS5tYGMslk5n7+wJRX/VW8ckDioJVBTpROLT5y7PPgetIKE7YaIU4X8W9Qw==
24866 945 2022-10-02T00:40:25.638Z 2022-10-02T00:40:25.113Z afd9f0a97993c5e1e717aa15732d4f3ea710a2b47a3a2e9d49753f4fff170067 77428b281fd4aaf1c9f020b724a8c1241f2777693c7d0b40240ab2025f722499 843233b228ff16a1b28c1bdc4827725ade576c49e35d55c693958b072d556f61 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 AME NEG 14 02474f2e3f72268f44b6e2fe6042e71c762cefb6653264945a947ef80d896f3b15 02e06db71736e07ecad1fe5454960a25124f52f58c5404ed537f3e9a4754573ea7 sL6cOuQzhspGi64FIYo94lDUXipY62GvgOJQgP6jVEPAg42SHRMSYVSFOUiR2C54GqqejRMvKrgB9+CtYkbAUw== 77428b281fd4aaf1c9f020b724a8c1241f2777693c7d0b40240ab2025f722499 S1Rmoeq4z9IT7k4iO7OhNB4kSKkPOltHKl0Wh8EIlmMWLWVAzo44gwnmgep/Hv017c3Wq56T22ZSomk7Mtn2uQ== dn6YocRLFz3EzAtVvBdl1GpJagVd6SaWiCEDcqXgqmVlfcXK2bIgFfBf/Y0/jGXlAHsFD1kqRozQugwzCLNQRg== Z6eM2uZl6Xl2kMDfeVh+c+sCIu8tP6M5H9+Lg9luU1qtf8sdudae4zWPe7IWY6B6ceFiE5NCpczAueJzVMre9g==
